company,price_aed,rating_out_of_5
Philips Body Groomer BG3480/15 | Trim & shave body hair & balls | 100% showerproof | Skin-friendly | 2 & 3 mm combs | 80 min cordless | Battery indicator | USB charging,118.55,3.8
"Philips Shaver 1000 Series Wet & Dry Electric Shaver S1151/00, 2 Years Warranty",103.98,4.5
Philips Shaver 3000 Series Wet & Dry Electric Shaver S3144/00. 2 Years Warranty,165,4.5
"WAHL Travel Shaver for Men - Wet & Dry Cordless Electric Razor with Powerful Motor - Sharp Blades 0.4mm Cutting Length - Spare Blade Foil - Lightweight Design - 45 Min Runtime Travel Pouch, 3615-1027",76.9,3.9
"Panasonic Pro Curve Wet & Dry Shaver - Es-Sa40, Blueblack",92,4.3
"Braun Series 5 51-B1000s Electric Shaver, Wet & Dry, Rechargeable, Cordless Foil Shaver, Blue",221.4,4
"Panasonic 1 Blade For Men Travel Shaver, Black [Es3831]",60.8,4
Philips Body Groomer BG5480/15 | Trim & shave body hair & balls | 100% showerproof | Skin-friendly | Back attachment for hard-to-reach areas | 2/3/5 mm combs | 100 min cordless,219,4.4
"Philips Cordless Wet & Dry Lady Shaver and Trimmer, Legs, Arm, Underarm, Bikini, Wet & Dry Usage, USB-A Charging, Quick Charge for the first use | Number 1 Lady Shaver Brand Globally! | BRL138/00",209,4.1
Philips Series 5000 Wet and dry electric shaver and soft pouch S5887/10,265,3.8
"Philips OneBlade Face + Body QP2824/20 | Trim, Edge & Shave | 5-in-1 Adjustable Comb & Body Kit | 45min Cordless | Fully Waterproof | USB Charging",148.7,4.4
"Braun Pocketgo Mobile Electric Travel Shaver, M90, Black/Silver",77.95,3.8
"Braun Series 9 Pro+ 9569cc Wet & Dry Shaver, Electric Razor for Men, Pro Shave Elements & Precision Long Hair Trimmer, 6-in-1 SmartCare Center and Travel Case, 60min Battery Runtime - Gold",1059,3.7
"Philips Shaver 5000X Series, Wet and Dry Electric Shaver, SkinProtect Technology, 360 Flexing Head, 1 h charging/5 min. Quick Charge, P-Cap Silver, Model X5004/00",258.25,4.4
Xiaomi Electric Shaver S200 Gray GL,79,4.2
"PRITECH Electric Shaver for Women,Ladies Shaver,Lady Razor for Legs,Arm,Underarm,Bikini,USB Rechargeable Razor Wet&Dry Cordless for Woman",65,4.1
"Braun Series 3 ProSkin 3040s Electric Shaver with Precision Trimmer, Rechargeable and Wireless Wet & Dry Razor Men, Black/Blue",225.67,4.4
Philips PQ888/06 Compact Electric Shaver for Travel | IPX7 Waterproof | 60 Min Cordless Runtime | Travel-friendly,151.1,4.2
"Philips Electric Shaver for Men, SkinProtect Technology, Wet and Dry Shave, 5D Floating Heads, 27 Self Sharpening Blades, Pop-up Trimmer, Cordless, Waterproof S3144/03 (New Model)",220,4
Moser PRO FINISH Cordless Mobile Shaver for Men | Ultra-Close 0.05 mm Shaving Foil | Powerful 7500 RPM Motor | 150-Min Run Time with 90-Min Quick Charge | Lightweight & Travel-Friendly (3616-0150),99,3.8
"WAHL Rechargeable Electric Shaver for Men - Wet & Dry Waterproof Razor with Flexible Foils, Pivot Head, Pop-Up Trimmer, Lithium Ion Long Run Time, Quick Charge, Travel Lock, 07064-027",140,4.3
"MANSCAPED® The Handyman™ Compact Face Shaver – Portable Men’s Travel Facial Hair Groomer, USB-C Rechargeable Razor, Electric Foil Face Shaver, Waterproof, Cordless, Dual-Action SkinSafe® Foil Blades",325,4.4
"Moser Mobile Shaver, Cordless Precision Shaver with Ultra-Close Cut Foil, Compact Design, Soft-touch Ergonomic Design, Space-Saving Travel Pouch Included (3615-0052)",65,4
"KEMEI Men's Shaving Razor, Rechargeable Electric Razor with Beard Trimmer, Titanium Foil Lithium Cordless Razors with Travel Case",85,4.3
"Braun Shaver 300BT Green Series Rotation Electric Shaver Trimmer, Black",179,4
"MANSPOT Trimmers for Men, Electric Body Hair Shaver for Men, Groin & Ball Trimmer with 4 Guards, Replaceable Ceramic Blade Heads, Wet & Dry Cordless Trimmer, 90-Minute Shaving Machine",83.98,4.3
Eacam Electric Shaver for Men 7 Floating Heads Beard Razor Hair Clipper Facial Cleaner Massager Nose Trimmer IPX7 Fully Washable LCD Digital Display Men Electric Shaver Set Gift for Man,118.56,2.9
"MAXGROOM Head Shaver for Bald Men, Waterproof Electric Razor with 7D Floating Heads, Close Smooth Skull Shave, Long Battery Life, Dual-Speed Power, Wet/Dry Shave, Gifts for Men",189.99,5
"Mini Electric Shaver, Pocket Size Electric Shaver for Men Women, Rechargeable Easy One-Button, Portable Powerful Waterproof Electric Razor for Travel Office Business Trip (1Pack)",109.99,3.8
Hatteker Foil Shaver Bald Head Shaver Electric Shaver Razor for Men Precision Trimmer Beard Clipper Triple Blades Waterproof Cordless,153.99,4.3
